,Engine Capacity,Cylinders,Drive Type,Fuel Tank Capacity,Fuel Economy,Fuel Type,Horsepower,Torque,Transmission,Top Speed,Seating Capacity,Acceleration,Length,Width,Height,Wheelbase,Trunk Capacity,name,price,currency,Country
976,2.0,4,1,48.0,6.5,0,148,192.0,0,190,5,8.3,4.275,1.765,1.535,2.57,240.0,Mazda CX 3 2021 2.0L GTL (FWD),82900.0,1,1
977,2.0,4,0,62.0,8.7,0,153,192.0,0,170,5,11.5,4.48,1.85,1.655,2.67,515.0,Hyundai Tucson 2021 2.0L Mid (FWD),86940.0,1,1
978,2.0,4,0,62.0,8.7,0,153,192.0,0,170,5,11.5,4.48,1.85,1.655,2.67,515.0,Hyundai Tucson 2021 2.0L Mid (FWD),86940.0,1,1
979,2.4,4,0,48.0,8.5,0,180,232.0,0,175,5,8.5,4.236,1.805,1.667,2.57,351.0,Jeep Renegade 2021 2.4L Sport (4x2),79900.0,1,1
982,1.5,4,0,63.0,7.0,0,147,250.0,0,200,5,9.8,4.405,1.805,1.685,2.67,378.0,Mitsubishi Eclipse Cross 2021 1.5T GLS (Full Option),88900.0,1,1
983,1.5,4,0,52.0,6.1,0,120,151.0,0,170,5,12.3,4.096,1.765,1.653,2.519,346.0,Ford EcoSport 2021 1.5 Titanium,87045.0,1,1
984,2.2,4,1,70.0,7.0,0,140,320.0,0,180,5,9.5,4.585,1.89,1.785,2.7,96.0,Mahindra XUV500 2021 2.2L W10 (AWD),88000.0,1,1
985,2.5,4,2,65.0,12.0,0,147,213.0,1,170,6,16.0,4.695,1.695,1.99,2.555,6000.0,Nissan Urvan 2021 6-Seater Manual ,89250.0,1,1
986,1.4,4,0,48.0,6.0,0,140,230.0,0,190,5,9.8,4.248,1.796,1.6,2.57,245.0,Fiat 500X 2021 1.4L Lounge,85000.0,1,1
987,1.4,4,0,60.0,7.5,0,147,250.0,0,180,5,10.5,4.49,1.877,1.675,2.685,500.0,Borgward BX5 2021 1.4T Fashion ,89250.0,1,1
989,2.5,4,2,65.0,12.5,0,147,213.0,0,170,6,15.0,4.695,1.695,1.99,2.555,6000.0,Nissan Urvan 2021 6-Seater Automatic (5-Door),89775.0,1,1
990,2.5,4,0,60.0,7.3,0,168,230.0,0,180,5,10.1,4.524,1.838,1.701,2.69,456.0,Ford Escape 2021 2.5L S,101745.0,1,1
991,2.0,4,1,60.0,8.2,0,150,197.0,0,191,5,11.7,4.355,1.81,1.625,2.67,358.0,Mitsubishi ASX 2021 2.0L GLX (4WD) Full Option,89900.0,1,1
992,2.0,4,1,63.0,7.3,0,150,196.0,2,194,5,10.4,4.465,1.8,1.615,2.665,1240.0,Subaru XV 2021 2.0L Standard,79900.0,1,1
993,2.0,4,1,63.0,7.3,0,150,196.0,2,194,5,10.4,4.465,1.8,1.615,2.665,1240.0,Subaru XV 2021 2.0L Standard,79900.0,1,1
997,2.5,4,0,60.0,6.7,0,178,231.0,0,195,5,9.3,4.885,1.84,1.445,2.824,427.0,Toyota Camry 2021 2.5L S (178 HP),91000.0,1,1
999,2.5,4,0,60.0,6.4,0,169,233.0,2,170,5,10.0,4.69,1.83,1.74,2.705,550.0,Nissan X-Trail 2021 S 2WD (5-Seater),89900.0,1,1
1000,2.5,4,0,60.0,6.4,0,169,233.0,2,170,7,10.0,4.69,1.83,1.74,2.705,550.0,Nissan X-Trail 2021 S 2WD (7-Seater),91900.0,1,1
1001,2.4,4,2,80.0,7.5,1,147,342.0,1,165,6,13.1,5.335,1.815,1.815,3.09,900.0,Toyota Hilux 2021 2.4L Double Cab DLS M/T (4x2),91350.0,1,1
1002,4.0,6,1,80.0,7.8,0,235,375.0,0,170,5,12.8,5.325,1.855,1.815,3.085,1150.0,Toyota Hilux 2021 4.0L Adventure (4x4),143000.0,1,1
1005,2.5,4,2,80.0,9.8,0,164,226.0,1,170,5,12.0,5.171,1.811,1.719,3.197,1180.0,Ford Ranger 2021 2.5L Double Cab (Base) Hi-Rider 4X2 M/T,111195.0,1,1
1006,2.5,4,1,58.0,7.0,0,188,251.0,0,210,5,7.5,4.55,1.84,1.675,2.7,506.0,Mazda CX-5 2021 2.5L GT (AWD),99900.0,1,1
1007,1.6,4,0,50.0,7.0,0,175,265.0,0,205,5,7.9,4.165,1.801,1.565,2.6,544.0,Hyundai Kona 2021 1.6L Turbo SEL,92000.0,1,1
1008,2.5,4,1,60.0,6.5,0,169,233.0,2,170,7,11.0,4.69,1.83,1.74,2.705,135.0,Nissan X-Trail 2021 SV AWD (7-Seater),119900.0,1,1
1009,2.5,4,1,60.0,6.5,0,169,233.0,2,170,7,11.0,4.69,1.83,1.74,2.705,135.0,Nissan X-Trail 2021 SV AWD (7-Seater),119900.0,1,1
1010,2.5,4,1,60.0,6.5,0,169,233.0,2,170,7,11.0,4.69,1.83,1.74,2.705,135.0,Nissan X-Trail 2021 SL AWD (7-Seater) ,134900.0,1,1
1012,2.0,4,0,51.0,5.5,0,153,200.0,0,197,5,10.8,4.46,1.795,1.435,2.725,334.0,Mazda 3 Hatchback 2021 2.0L Intense ,99900.0,1,1
1013,2.0,4,0,51.0,5.5,0,153,200.0,0,197,5,10.8,4.46,1.795,1.435,2.725,334.0,Mazda 3 Hatchback 2021 2.0L Allure ,82900.0,1,1
1015,1.5,4,0,56.0,5.4,0,198,260.0,0,195,5,7.5,4.89,1.86,1.45,2.83,473.0,Honda Accord 2021 1.5T LX,92900.0,1,1
1016,1.6,4,0,53.0,6.0,0,165,240.0,0,205,5,9.0,4.447,1.841,1.615,2.675,520.0,Peugeot 3008 2021 1.6T Active,94900.0,1,1
1017,1.6,4,0,60.0,6.5,0,163,240.0,0,188,5,9.0,4.253,1.863,1.472,2.61,420.0,Peugeot 308 2021 1.6L GT Line,85500.0,1,1
1018,2.4,4,1,60.0,9.5,0,167,222.0,0,198,7,10.2,4.695,1.81,1.68,2.67,291.0,Mitsubishi Outlander 2021 2.4L GLX (7-Seater) High,95500.0,1,1
1019,2.5,4,1,60.0,7.7,0,173,235.0,0,210,5,9.6,4.795,1.839,1.5,2.75,506.0,Subaru Legacy 2021 2.5i Standard,82000.0,1,1
1021,2.4,4,1,70.0,9.6,0,170,225.0,0,189,7,10.0,4.78,1.89,1.69,2.78,1050.0,Kia Sorento 2021 2.4L Base (AWD),96500.0,1,1
1022,3.3,6,0,70.0,10.1,0,290,342.0,0,200,7,8.7,4.801,1.89,1.684,2.77,1050.0,Kia Sorento 2021 3.3L Base (FWD),96500.0,1,1
1023,2.5,4,0,61.3,6.3,0,188,244.0,2,220,5,8.0,4.989,1.83,1.44,2.825,517.0,Nissan Altima 2021 2.5 SL,119500.0,1,1
1024,2.5,4,0,61.3,6.3,0,188,244.0,2,220,5,8.0,4.989,1.83,1.44,2.825,517.0,Nissan Altima 2021 2.5 SL,119500.0,1,1
1025,2.7,4,2,80.0,11.1,0,164,245.0,1,165,6,11.5,5.33,1.8,1.7,3.085,900.0,Toyota Hilux 2021 2.7L Double Cab GLX M/T (4x2),96600.0,1,1
1026,3.0,6,1,88.0,13.0,0,177,259.0,0,180,7,12.7,4.9,1.875,1.87,2.78,1081.0,Mitsubishi Pajero 2021 3.0L GLS 5 Door Mid,96900.0,1,1
1027,3.0,6,1,88.0,13.0,0,177,259.0,0,180,7,12.7,4.9,1.875,1.87,2.78,1081.0,Mitsubishi Pajero 2021 3.0L GLS 5 Door Signature Edition ,168000.0,1,1
1029,1.5,4,0,45.0,5.8,0,180,220.0,0,210,5,8.4,4.575,1.755,1.435,2.67,478.0,Honda Civic 2021 1.5 RS,98900.0,1,1
1030,2.4,4,1,66.0,9.6,0,167,227.0,0,175,5,12.0,4.5,1.81,1.695,2.64,398.0,Suzuki Grand Vitara 2021 2.4L DLX (5 Door) ,87900.0,1,1
1031,3.3,6,1,70.0,10.3,0,290,342.0,0,200,7,8.5,4.801,1.89,1.684,2.77,1050.0,Kia Sorento 2021 3.3L Base (AWD),98500.0,1,1
1032,2.4,4,0,70.0,9.5,0,170,225.0,0,189,7,10.2,4.78,1.89,1.69,2.78,1050.0,Kia Sorento 2021 2.4L Top (FWD),98500.0,1,1
1033,3.0,4,1,76.0,10.0,1,134,294.0,0,170,5,15.0,5.295,1.86,1.785,3.095,1100.0,Isuzu D-MAX 2021 3.0L Double Cab 2WD,77000.0,1,1
1036,2.7,4,2,80.0,8.5,0,164,245.0,0,170,5,12.9,5.33,1.8,1.7,3.085,900.0,Toyota Hilux 2021 2.7L Double Cab GLX A/T (4x2),99750.0,1,1
1037,2.0,4,0,60.0,8.6,0,224,300.0,0,206,7,9.3,4.715,1.911,1.69,2.76,545.0,Borgward BX7 2021 2.0T Elite FWD (7-Seater),99750.0,1,1
1038,1.4,4,1,60.0,9.5,0,147,250.0,0,180,5,10.5,4.49,1.877,1.675,2.685,500.0,Borgward BX5 2021 1.4T Elite ,99750.0,1,1
1039,2.5,4,1,80.0,10.4,0,164,226.0,1,170,5,12.0,5.171,1.811,1.719,3.197,1180.0,Ford Ranger 2021 2.5L Double Cab (Base) Hi-Rider 4X4 M/T,115395.0,1,1
1042,3.5,6,0,70.0,10.4,0,270,326.0,0,235,5,7.5,4.956,1.861,1.513,2.85,506.0,Geely Emgrand GT 2021 3.5L V6 Elegance,99900.0,1,1
1043,1.6,4,0,53.0,6.1,0,165,240.0,0,206,7,9.2,4.641,1.844,1.646,2.84,952.0,Peugeot 5008 2021 1.6T Active,99900.0,1,1
1045,1.4,4,0,48.0,5.4,0,145,230.0,0,210,5,8.9,4.37,1.809,1.485,2.662,370.0,Opel Astra Hatchback 2021 1.4T Elegance+ ,89900.0,1,1
1049,2.5,4,1,60.0,6.5,0,169,233.0,2,170,5,11.0,4.69,1.83,1.74,2.705,550.0,Nissan X-Trail 2021 S AWD (5-Seater),105900.0,1,1
1050,2.0,4,0,51.0,5.5,0,153,200.0,0,202,5,10.8,4.66,1.795,1.455,2.7,450.0,Mazda 3 Sedan 2021 2.0L Avant,92900.0,1,1
1051,1.8,4,0,40.0,4.4,2,121,140.0,0,170,5,10.0,4.54,1.76,1.47,2.7,502.0,Toyota Prius 2021 Iconic,105000.0,1,1
1052,2.0,4,0,70.0,7.9,0,198,300.0,0,200,4,9.0,5.003,1.91,1.508,2.907,500.0,GAC GA8 2021 2.0T GL,102900.0,1,1
1053,2.0,4,0,70.0,7.9,0,198,300.0,0,200,4,9.0,5.003,1.91,1.508,2.907,500.0,GAC GA8 2021 2.0T GE,91000.0,1,1
1054,1.5,4,1,59.0,6.9,0,170,275.0,0,200,5,9.2,4.63,1.839,1.661,2.725,838.0,GMC Terrain 2021 1.5T SLE (AWD),109000.0,1,1
1055,3.3,6,0,70.0,9.4,0,284,336.0,0,235,5,7.2,4.97,1.87,1.47,2.855,451.0,Kia Cadenza 2021 3.3L GDi Mid,138000.0,1,1
1056,2.0,4,1,63.0,7.3,0,150,196.0,2,194,5,10.4,4.465,1.8,1.615,2.665,1240.0,Subaru XV 2021 2.0L-S EyeSight ,95000.0,1,1
1059,1.6,4,0,53.0,6.0,0,165,240.0,0,205,5,9.0,4.447,1.841,1.615,2.675,520.0,Peugeot 3008 2021 1.6T Allure,109900.0,1,1
1060,2.2,4,1,80.0,7.8,1,118,285.0,1,160,5,12.5,5.171,1.811,1.719,3.197,1180.0,Ford Ranger 2021 2.2L Double Cab (Base) Hi-Rider 4X4 M/T,117495.0,1,1
1061,1.5,4,0,56.0,5.4,0,198,260.0,0,195,5,7.5,4.89,1.86,1.45,2.83,473.0,Honda Accord 2021 1.5T LX Sport,99900.0,1,1
1062,2.4,4,0,55.0,9.2,0,172,225.0,0,170,8,11.2,4.83,1.8,1.695,2.9,1087.0,Honda Odyssey J 2021 2.4 EX,112900.0,1,1
1063,2.4,4,0,55.0,9.2,0,172,225.0,0,170,8,11.2,4.83,1.8,1.695,2.9,1087.0,Honda Odyssey J 2021 2.4 EX,112900.0,1,1
1065,2.7,4,2,65.0,10.8,0,164,250.0,0,170,8,11.7,4.735,1.83,1.795,2.75,184.0,Toyota Innova 2021 2.7L SE+,105550.0,1,1
1066,2.5,4,1,60.0,8.5,0,168,235.0,0,196,5,9.9,4.595,1.796,1.686,2.64,974.0,Subaru Forester 2021 2.5i Premium,105900.0,1,1
1067,1.0,3,0,50.0,4.7,0,116,200.0,0,211,5,9.9,4.458,1.796,1.416,2.637,425.0,Audi A3 Sedan 2021 30 TFSI (116 HP),103110.0,1,1
1068,1.0,3,0,50.0,4.7,0,116,200.0,0,211,5,9.9,4.458,1.796,1.416,2.637,425.0,Audi A3 Sedan 2021 30  TFSI Sport (116 HP),108360.0,1,1
1072,2.4,4,1,70.0,9.6,0,170,225.0,0,189,7,10.0,4.78,1.89,1.69,2.78,1050.0,Kia Sorento 2021 2.4L Top (AWD),107500.0,1,1
1074,3.8,6,1,69.0,13.0,0,241,327.0,0,180,5,12.7,4.385,1.875,1.85,2.56,500.0,Mitsubishi Pajero 2021 3.8L GLS 3 Door High,107900.0,1,1
1075,3.8,6,1,82.0,12.7,0,270,362.0,0,200,7,9.0,4.88,1.915,1.81,2.895,331.0,Kia Mohave 2021 3.8L Base,104900.0,1,1
1076,3.0,6,1,60.0,10.3,0,227,292.0,0,205,7,8.7,4.695,1.81,1.68,2.67,291.0,Mitsubishi Outlander 2021 3.0L GLS (7-Seater) High,108000.0,1,1
1077,3.0,6,1,60.0,10.3,0,227,292.0,0,205,7,8.7,4.695,1.81,1.68,2.67,291.0,Mitsubishi Outlander 2021 3.0L GLS (7-Seater) High,108000.0,1,1
1079,3.0,6,1,88.0,13.0,0,177,259.0,0,180,7,12.7,4.9,1.875,1.87,2.78,1081.0,Mitsubishi Pajero 2021 3.0L GLS 5 Door High,109000.0,1,1
1083,2.7,4,2,65.0,10.8,0,164,250.0,0,170,7,11.7,4.735,1.83,1.795,2.75,184.0,Toyota Innova 2021 2.7L Limited,109200.0,1,1
1084,2.2,4,0,90.0,7.5,1,130,320.0,1,150,2,14.0,6.363,2.05,2.76,4.035,17000.0,Peugeot Boxer 2021 2.2L Diesel (L4H3),104900.0,1,1
1085,2.2,4,0,90.0,7.5,1,130,320.0,1,150,2,14.0,5.413,2.05,2.254,3.45,11500.0,Peugeot Boxer 2021 2.2L Diesel (L2H2),94900.0,1,1
1086,2.4,4,1,62.0,9.5,0,181,237.0,0,180,5,10.0,4.48,1.85,1.655,2.67,515.0,Hyundai Tucson 2021 2.4L GDI Full Option (AWD),116340.0,1,1
1087,1.4,4,0,35.0,5.8,0,180,250.0,0,225,4,6.9,3.66,1.627,1.485,2.3,185.0,Abarth 595 2021 1.4T Competizione (Hard-Top),110000.0,1,1
1089,2.5,4,1,58.0,7.0,0,188,251.0,0,210,5,7.5,4.55,1.84,1.675,2.7,506.0,Mazda CX-5 2021 2.5L Signature Edition (AWD),134900.0,1,1
1090,3.5,6,0,70.0,10.4,0,270,326.0,0,235,5,7.5,4.956,1.861,1.513,2.85,506.0,Geely Emgrand GT 2021 3.5L V6 Flagship,110900.0,1,1
1094,2.5,4,0,55.0,7.3,0,203,243.0,0,200,5,8.2,4.6,1.855,1.685,2.66,1085.0,Toyota Rav4 2021 2.5L GX (2WD) ,99000.0,1,1
1095,2.5,4,1,55.0,7.3,0,203,243.0,0,200,5,8.2,4.6,1.855,1.685,2.66,1085.0,Toyota Rav4 2021 2.5L GXR (4X4)  ,119900.0,1,1
1096,2.5,4,1,55.0,7.3,0,203,243.0,0,200,5,8.2,4.61,1.865,1.69,2.66,1085.0,Toyota Rav4 2021 2.5L Adventure  ,129900.0,1,1
1098,1.4,4,0,50.0,5.0,0,150,250.0,0,224,5,8.2,4.458,1.796,1.416,2.637,425.0,Audi A3 Sedan 2021 35 TFSI Sport (150 HP),114640.0,1,1
1099,3.3,6,1,70.0,10.3,0,265,335.0,0,200,7,8.5,4.78,1.89,1.69,2.78,1050.0,Kia Sorento 2021 3.3L Mid Option (AWD),113000.0,1,1
1100,2.4,4,1,48.0,7.8,0,184,240.0,0,175,5,9.0,4.23,1.8,1.69,2.57,1438.0,Jeep Renegade 2021 2.4L Longitude 4x2,89900.0,1,1
1101,3.5,6,0,60.0,7.0,0,298,356.0,0,235,5,6.3,4.885,1.84,1.445,2.824,427.0,Toyota Camry 2021 3.5L SE (298 HP),114000.0,1,1
1102,2.7,4,1,80.0,12.4,0,164,245.0,0,180,7,12.0,4.795,1.855,1.835,2.75,348.0,Toyota Fortuner 2021 2.7L EXR,124900.0,1,1
1103,2.5,4,1,60.0,8.3,0,170,233.0,0,199,5,9.8,4.673,1.843,1.673,2.705,530.0,Renault Koleos 2021 2.5L LE (4WD),114345.0,1,1
1104,1.6,4,0,53.0,6.1,0,165,240.0,0,206,7,9.2,4.641,1.844,1.646,2.84,952.0,Peugeot 5008 2021 1.6T Allure,119900.0,1,1
1105,1.4,4,0,58.0,6.9,0,150,250.0,0,200,5,9.2,4.486,1.839,1.632,2.681,615.0,Volkswagen Tiguan 2021 1.4L SE,106300.0,1,1
1106,1.6,4,0,50.0,5.9,0,154,250.0,0,205,5,8.8,4.425,1.805,1.495,2.7,430.0,Infiniti Q30 2021 1.6T (FWD),115000.0,1,1
1107,1.5,4,1,56.0,7.3,0,170,275.0,0,190,5,9.3,4.65,1.844,1.661,2.725,846.0,Chevrolet Equinox 2021 1.5T LT (AWD),88400.0,1,1
1108,1.5,4,1,56.0,7.3,0,170,275.0,0,190,5,9.3,4.65,1.844,1.661,2.725,846.0,Chevrolet Equinox 2021 1.5T LT (AWD),88400.0,1,1
1109,1.4,4,1,60.0,7.1,0,150,250.0,0,194,7,9.9,4.697,1.882,1.681,2.791,650.0,Skoda Kodiaq 2021 1.4 TSI Active (AWD),115000.0,1,1
1110,2.4,4,1,48.0,7.8,0,184,240.0,0,175,5,9.0,4.23,1.8,1.69,2.57,1438.0,Jeep Renegade 2021 Trailhawk,99000.0,1,1
1111,2.5,4,1,60.0,7.7,0,173,235.0,0,210,5,9.6,4.795,1.839,1.5,2.75,506.0,Subaru Legacy 2021 2.5i Premium,90000.0,1,1
1112,2.5,4,1,60.0,8.5,0,168,235.0,0,196,5,9.9,4.595,1.796,1.686,2.64,974.0,Subaru Forester 2021 2.5i Sport,115900.0,1,1
1113,2.4,4,1,60.0,10.3,0,165,222.0,0,205,7,8.7,4.695,1.81,1.68,2.67,291.0,Mitsubishi Outlander 2021 2.4L GLX  (7-Seater) Super High,117900.0,1,1
1117,2.5,4,1,60.0,7.3,0,172,235.0,2,198,5,10.2,4.82,1.84,1.605,2.745,1801.0,Subaru Outback 2021 2.5i S AWD,114900.0,1,1
1119,1.5,4,0,56.0,5.4,0,198,260.0,0,195,5,7.5,4.89,1.86,1.45,2.83,473.0,Honda Accord 2021 1.5T EX,109900.0,1,1
1120,1.5,4,0,56.0,5.4,0,198,260.0,0,195,5,7.5,4.89,1.86,1.45,2.83,473.0,Honda Accord 2021 1.5T EXL,119900.0,1,1
1121,3.8,6,1,88.0,13.0,0,243,327.0,0,180,7,12.7,4.9,1.875,1.87,2.78,1081.0,Mitsubishi Pajero 2021 3.8L 5 Door Mid,120000.0,1,1
1122,3.8,6,1,88.0,13.0,0,243,327.0,0,180,7,12.7,4.9,1.875,1.87,2.78,1081.0,Mitsubishi Pajero 2021 3.8L 5 Door Mid,120000.0,1,1
1123,3.8,6,1,88.0,13.0,0,243,327.0,0,180,7,12.7,4.9,1.875,1.87,2.78,1081.0,Mitsubishi Pajero 2021 3.8L 5 Door Signature Edition  ,174000.0,1,1
1124,1.4,4,0,35.0,5.8,0,180,250.0,0,225,4,6.9,3.66,1.627,1.485,2.3,185.0,Abarth 595 2021 1.4T Competizione (Convertible),120000.0,1,1
1125,1.4,4,0,35.0,5.8,0,180,250.0,0,225,4,6.9,3.657,1.647,1.485,2.3,185.0,Abarth 695 2021 1.4T Rivale (Hard-Top),120000.0,1,1
1127,2.5,4,1,60.0,6.5,0,169,233.0,2,170,7,11.0,4.69,1.83,1.74,2.705,135.0,Nissan X-Trail 2021 SV X-Treamer AWD (7-Seater),119900.0,1,1
1130,3.6,6,0,73.0,8.4,0,310,361.0,0,208,8,8.0,5.189,1.996,1.795,3.071,651.0,Chevrolet Traverse 2021 3.6L LS (FWD),126400.0,1,1
1131,3.5,6,0,60.0,7.0,0,298,356.0,0,235,5,6.3,4.885,1.84,1.445,2.824,427.0,Toyota Camry 2021 3.5L Sport (298 HP),122500.0,1,1
1132,1.6,4,0,53.0,6.0,0,165,240.0,0,205,5,9.0,4.447,1.841,1.615,2.675,520.0,Peugeot 3008 2021 1.6T GT Line,124900.0,1,1
1133,2.4,4,1,60.0,9.2,0,184,234.0,0,175,5,11.0,4.624,1.86,1.681,2.718,841.0,Jeep Cherokee 2021 2.4L Sport,99000.0,1,1
1134,2.4,4,1,51.0,9.5,0,180,237.0,0,180,5,9.9,4.394,1.874,1.645,2.636,770.0,Jeep Compass 2021 2.4L Longitude (4x4),89900.0,1,1
1135,2.0,4,1,60.0,7.4,0,180,320.0,0,208,5,7.7,4.486,1.839,1.646,2.681,615.0,Volkswagen Tiguan 2021 2.0L SE ,120900.0,1,1
1136,1.4,4,0,60.0,7.5,0,170,250.0,0,220,5,8.2,4.351,1.798,1.465,2.634,350.0,Alfa Romeo Giulietta 2021 Super,119000.0,1,1
1137,1.8,4,0,60.0,7.5,0,241,340.0,0,244,5,6.0,4.351,1.798,1.465,2.634,350.0,Alfa Romeo Giulietta 2021 Veloce ,129000.0,1,1
1138,2.0,4,1,60.0,7.4,0,180,320.0,0,207,7,8.2,4.697,1.882,1.681,2.791,650.0,Skoda Kodiaq 2021 2.0 TSI Active (AWD),125000.0,1,1
1139,2.0,4,1,60.0,9.2,0,265,350.0,0,240,5,6.3,4.595,1.795,1.475,2.65,460.0,Subaru WRX 2021 2.0T Standard ,108900.0,1,1
1140,2.5,4,1,58.0,7.0,0,188,251.0,0,210,5,7.5,4.55,1.84,1.675,2.7,965.0,Mazda CX-5 2021 2.5L GTX (AWD),127900.0,1,1
1141,2.4,4,1,48.0,7.8,0,184,240.0,0,175,5,9.0,4.23,1.8,1.69,2.57,1438.0,Jeep Renegade 2021 Limited,99900.0,1,1
1142,2.0,4,1,59.0,7.4,0,252,352.0,0,200,5,7.5,4.65,1.844,1.661,2.725,846.0,Chevrolet Equinox 2021 2.0T Premier (AWD),118000.0,1,1
1143,1.4,4,1,60.0,7.1,0,150,250.0,0,194,7,9.9,4.697,1.882,1.681,2.791,650.0,Skoda Kodiaq 2021 1.4 TSI Style (AWD),128000.0,1,1
1144,2.0,4,1,90.0,11.0,0,251,350.0,0,240,7,12.0,4.856,1.926,1.9,2.8,750.0,Haval H9 2021 2.0L Luxury (4WD),104900.0,1,1
1145,2.0,4,1,90.0,11.0,0,251,350.0,0,240,7,12.0,4.856,1.926,1.9,2.8,750.0,Haval H9 2021 2.0L Luxury (4WD),104900.0,1,1
1146,2.7,4,1,87.0,12.4,0,160,246.0,0,170,5,13.5,4.485,1.885,1.845,2.45,700.0,Toyota Land Cruiser Prado 2021 (3 Door) 2.7L GXR,129900.0,1,1
1147,2.7,4,1,87.0,12.4,0,164,246.0,0,170,7,13.5,4.76,1.885,1.845,2.79,742.0,Toyota Land Cruiser Prado 2021 2.7L EXR,129900.0,1,1
1148,3.6,6,1,60.0,9.9,0,257,350.0,2,240,5,7.2,4.795,1.839,1.5,2.75,506.0,Subaru Legacy 2021 3.6L  R-S,109000.0,1,1
1149,3.8,6,1,88.0,13.5,0,250,330.0,0,200,7,10.8,4.9,1.875,1.87,2.78,1081.0,Mitsubishi Pajero 2021 3.8L GLS 5 Door high,130000.0,1,1
1150,1.4,4,0,35.0,5.8,0,180,250.0,0,225,4,6.9,3.657,1.647,1.485,2.3,185.0,Abarth 695 2021 1.4T Rivale (Convertible),130000.0,1,1
1151,1.5,3,2,52.0,5.4,0,109,180.0,0,195,5,10.9,4.329,1.984,1.44,2.69,360.0,BMW 1 Series 2021 116i,98000.0,1,1
1152,2.0,4,1,60.0,8.6,0,224,300.0,0,206,7,9.3,4.715,1.911,1.69,2.76,545.0,Borgward BX7 2021 2.0T AWD Ultimate (7-Seater),131250.0,1,1
1154,2.4,4,0,65.0,9.2,0,168,225.0,0,185,8,11.5,4.795,1.8,1.75,2.95,1107.0,Toyota Previa 2021 2.4L S,132200.0,1,1
1156,2.4,4,0,55.0,9.2,0,172,225.0,0,170,7,11.2,4.83,1.8,1.695,2.9,1087.0,Honda Odyssey J 2021 2.4 EX V,134900.0,1,1
1157,2.5,4,0,50.0,4.5,2,176,221.0,2,200,5,9.1,4.885,1.84,1.445,2.824,427.0,Toyota Camry 2021 2.5L Limited HEV,133500.0,1,1
1158,2.5,4,0,50.0,4.5,2,176,221.0,2,200,5,9.1,4.885,1.84,1.445,2.824,427.0,Toyota Camry 2021 2.5L LE HEV,122500.0,1,1
1159,2.0,4,1,60.0,7.4,0,180,320.0,0,208,5,7.7,4.486,1.839,1.646,2.681,615.0,Volkswagen Tiguan 2021 2.0L SEL,134900.0,1,1
1160,3.6,6,1,70.0,11.0,0,285,353.0,0,180,4,7.0,4.237,1.875,1.869,2.459,898.0,Jeep Wrangler 2021 3.6L V6 Sport (2-Door),144900.0,1,1
1161,3.6,6,1,70.0,11.0,0,285,353.0,0,180,4,7.0,4.237,1.875,1.869,2.459,898.0,Jeep Wrangler 2021 3.6L V6 Sport (2-Door),144900.0,1,1
1162,4.0,6,1,80.0,12.6,0,235,376.0,0,187,7,9.0,4.795,1.855,1.835,2.75,348.0,Toyota Fortuner 2021 4.0L GXR,144900.0,1,1
1163,1.6,4,0,53.0,6.1,0,165,240.0,0,206,7,9.2,4.641,1.844,1.646,2.84,952.0,Peugeot 5008 2021 1.6T GT Line,134900.0,1,1
1164,1.8,4,0,45.0,4.1,2,134,142.0,0,182,5,10.3,4.35,1.765,1.455,2.6,275.0,Lexus CT 2021 200h Prestige,135000.0,1,1
1165,3.5,6,0,70.0,9.7,0,286,338.0,0,230,5,7.4,4.99,1.875,1.47,2.885,515.0,Hyundai Azera 2021 3.5L V6 Base,134000.0,1,1
1166,3.5,6,0,70.0,9.6,0,286,338.0,0,230,5,7.4,4.99,1.875,1.47,2.885,515.0,Hyundai Azera 2021 3.5L V6 Mid,150000.0,1,1
1167,3.5,6,0,70.0,9.6,0,286,338.0,0,230,5,7.4,4.99,1.875,1.47,2.885,515.0,Hyundai Azera 2021 3.5L V6 High,164000.0,1,1
1168,2.0,4,1,60.0,9.2,0,265,350.0,0,240,5,6.3,4.595,1.795,1.475,2.65,460.0,Subaru WRX 2021 2.0T  Premium,117900.0,1,1
1169,3.5,6,0,68.0,10.4,0,300,355.0,0,211,5,6.4,4.897,1.86,1.435,2.776,402.0,Nissan Maxima 2021 3.5L SV,141500.0,1,1
1170,3.7,6,2,95.0,14.2,0,275,340.0,0,158,2,8.5,5.585,2.065,2.123,3.302,6986.0,Ford Transit 2021 3.7L 150XL (Low Roof),144795.0,1,1
1171,3.6,6,0,72.0,8.8,0,310,366.0,0,210,7,6.8,4.917,1.915,1.676,2.858,362.0,GMC Acadia 2021 3.6L SLE2 (FWD),124000.0,1,1
1172,3.8,6,1,82.0,12.7,0,270,362.0,0,200,7,9.0,4.88,1.915,1.81,2.895,350.0,Kia Mohave 2021 3.8L Top,137500.0,1,1
1173,3.3,6,1,70.0,10.3,0,290,342.0,0,200,7,8.5,4.801,1.89,1.684,2.77,1050.0,Kia Sorento 2021 3.3L Top (AWD),138500.0,1,1
1174,3.5,4,2,65.0,13.5,0,277,360.0,1,160,3,17.5,5.915,1.95,2.28,3.86,9800.0,Toyota Hiace 2021 3.5L GLS high roof (3 seater),123900.0,1,1
